book_info,book_name,book_rate,book_desc,book_url,book_comments
安妮宝贝 / 作家出版社 / 2007-9 / 27.00元,"
                素年锦时

                
              ",7.8,呢喃自语，清简自持,https://book.douban.com/subject/2256438/,"(
                    51210人评价
                )"
[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-6 / 36.00元,"
                1Q84 BOOK 2

                
                  ",8.4,情节铺展渐次清明，高潮序曲,https://book.douban.com/subject/4885241/,"(
                    48666人评价
                )"
[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,"
                情书

                
              ",8.6,一场误会中的两段爱情，东方式的含蓄隐忍,https://book.douban.com/subject/1080370/,"(
                    46246人评价
                )"
蔡智恒 / 知识出版社 / 1999-11-1 / 12.80,"
                第一次的亲密接触

                
              ",7.4,那时候，去麦当劳约会还很高端……,https://book.douban.com/subject/1024217/,"(
                    52086人评价
                )"
[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元,"
                麦田里的守望者

                
              ",7.9,塞林格的麦田里，到处是坠落的青春,https://book.douban.com/subject/1082518/,"(
                    49647人评价
                )"
金庸 / 三联书店 / 1994-5 / 76.8,"
                神雕侠侣

                
              ",8.8,至情至性，情大于武,https://book.douban.com/subject/1255624/,"(
                    44434人评价
                )"
韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元,"
                一座城池

                
              ",7.4,可能是韩寒最好笑的小说,https://book.douban.com/subject/1453210/,"(
                    51049人评价
                )"
小仲马 / 王振孙 / 外国文学出版社 / 1997-03-01 / 9.00,"
                茶花女

                
              ",8.1,妓女应当拥有爱情吗？,https://book.douban.com/subject/1013380/,"(
                    46815人评价
                )"
韩寒 / 万卷出版公司 / 2009-1 / 25.00元,"
                他的国

                
              ",7.5,总有光芒将你引导到清澈的地方,https://book.douban.com/subject/3394338/,"(
                    49830人评价
                )"
安妮宝贝 / 南海出版公司 / 2001-9 / 20.00元,"
                彼岸花

                
              ",7.8,安妮宝贝第一部长篇，现实与虚构的重合,https://book.douban.com/subject/1065970/,"(
                    48200人评价
                )"
笛安 / 长江文艺出版社 / 2009-3 / 22.80元,"
                西决

                
              ",8.0,无关风月的非典型青春小说,https://book.douban.com/subject/3598313/,"(
                    46481人评价
                )"
文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元,"
                这些都是你给我的爱

                
              ",8.4,只言片语的温暖,https://book.douban.com/subject/4714734/,"(
                    43455人评价
                )"
安妮宝贝 / 作家出版社 / 2001-1 / 16.00元,"
                八月未央

                
              ",7.5,八月是一阵季风，生命是一场幻觉,https://book.douban.com/subject/1029159/,"(
                    47688人评价
                )"
吴念真 / 译林出版社 / 2011-9 / 28.00元,"
                这些人，那些事

                
              ",8.8,平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/,"(
                    41949人评价
                )"
[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,"
                东方快车谋杀案

                
              ",9.0,谋杀诡计惊人，波洛的抉择耐人寻味,https://book.douban.com/subject/1827374/,"(
                    34134人评价
                )"
[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,"
                挪威的森林

                
              ",8.4,初读是色情，再读是爱情，三读是世情,https://book.douban.com/subject/2159042/,"(
                    42697人评价
                )"
安妮宝贝 / 天津人民出版社 / 2004-10 / 22.00元,"
                清醒纪

                
              ",7.9,遗忘就和记得一样是送给彼此的纪念,https://book.douban.com/subject/1030052/,"(
                    44667人评价
                )"
